id,target,prediction
990-CdSe-M_B-Hg-POSCAR1.cif,2.275914,2.364249
473-CdTe-M_i_neut-F-POSCAR22.cif,2.859189,2.749525
1186-CdS-M_A-Br-POSCAR3.cif,5.778465,5.75645
1058-CdSe-M_i_B-In-POSCAR4.cif,2.879025,2.735557
1129-CdSe-M_i_neut-F-POSCAR3.cif,3.051976,3.004681
797-SnC-M_i_neut-Na-POSCAR4.cif,7.462307,7.534261
939-CdSe-M_B-Be-POSCAR7.cif,4.094773,4.112503
417-CdTe-M_i_B-Cr-POSCAR1.cif,-0.978982,-1.066793
489-CdTe-M_i_neut-Nb-POSCAR10.cif,4.49511,4.404453
638-InP-M_A-Rb-POSCAR7.cif,3.774511,3.786597
1173-CdS-M_A-C-POSCAR7.cif,6.560695,6.740386
958-CdSe-M_B-Se-POSCAR3.cif,0.170563,-0.581812
555-AlN-M_i_neut-Si-POSCAR23.cif,11.153038,11.133611
40-Cd_Te0.500_Se0.500-Cd_i-POSCAR10-Neutral.cif,1.77,1.733079
269-GeC-C_i_neut-POSCAR2-Neutral.cif,8.092396,7.927787
62-ZnSe-M_i_A-K-POSCAR5.cif,3.105214,3.100992
471-CdTe-M_i_neut-Se-POSCAR4.cif,3.716692,3.605335
1136-CdSe-M_i_neut-Cr-POSCAR51.cif,1.990935,1.942495
1284-CdS-M_i_A-In-POSCAR2.cif,3.478477,3.420771
1399-CdS-M_i_neut-Ge-POSCAR7.cif,3.628584,3.559241
282-CdTe-M_B-Se-POSCAR2.cif,0.056553,-0.379631
1386-CdS-M_i_neut-K-POSCAR27.cif,2.971287,2.890025
1225-CdS-M_B-B-POSCAR8.cif,4.398255,4.343284
510-BN-M_B-Li-POSCAR3.cif,12.031038,10.773045
739-SiC-M_i_A-B-POSCAR0.cif,9.019766,8.497284
542-BSb-M_i_A-La-POSCAR6.cif,10.252518,10.522621
1432-CdS-M_i_neut-La-POSCAR0.cif,6.947093,6.856381
307-GeSn-Sn_i_A-POSCAR3-Neutral.cif,2.34362,2.293663
184-CdSe-M_i_B-Se-POSCAR3.cif,4.84912,4.86195
889-CdSe-M_A-Ga-POSCAR3.cif,0.602508,0.431981
1340-CdS-M_i_B-Ga-POSCAR0.cif,2.549109,2.464126
137-AlP-Al_i_neut-POSCAR6-Neutral.cif,4.485673,4.411241
962-CdSe-M_B-Br-POSCAR3.cif,0.527389,0.237604
458-CdTe-M_i_neut-Tl-POSCAR14.cif,2.612074,2.569272
1325-CdS-M_i_A-Ir-POSCAR2.cif,5.067999,5.017571
197-CdTe-M_A-Be-POSCAR0.cif,0.580564,1.100852
1349-CdS-M_i_B-P-POSCAR8.cif,4.887382,4.835192
499-CdTe-M_i_neut-Ta-POSCAR15.cif,5.552077,5.516899
1113-CdSe-M_i_neut-Al-POSCAR21.cif,3.000793,2.837755
1079-CdSe-M_i_B-Cr-POSCAR0.cif,1.845345,1.611954
654-InAs-M_i_B-Ta-POSCAR4.cif,4.922992,4.826733
403-CdTe-M_i_B-As-POSCAR3.cif,3.910416,3.816944
459-CdTe-M_i_neut-C-POSCAR4.cif,6.666414,6.652806
1241-CdS-M_B-S-POSCAR6.cif,0,0.012434
185-CdSe-M_i_neut-Ag-POSCAR7.cif,1.63574,1.551333
488-CdTe-M_i_neut-Zr-POSCAR4.cif,4.325619,4.231779
1366-CdS-M_i_B-Cu-POSCAR5.cif,2.402155,2.316551
545-BSb-M_i_neut-Cl-POSCAR13.cif,8.37921,8.442644
400-CdTe-M_i_B-Pb-POSCAR5.cif,3.064791,3.008841
107-BAs-B_i_neut-POSCAR5-Neutral.cif,6.07441,6.081209
1119-CdSe-M_i_neut-Ge-POSCAR1.cif,3.253787,3.142808
156-CdS-M_i_neut-As-POSCAR1.cif,4.310134,4.287447
105-CdO-M_A-B-POSCAR6.cif,12.12221,10.889979
207-InN-In_i_neut-POSCAR27-Neutral.cif,4.529624,4.37418
586-AlSb-M_i_neut-F-POSCAR13.cif,2.618523,2.636719
487-CdTe-M_i_neut-Y-POSCAR15.cif,4.432298,4.34426
1104-CdSe-M_i_neut-Na-POSCAR4.cif,3.278304,3.213274
1417-CdS-M_i_neut-Mn-POSCAR37.cif,2.456535,2.392058
1415-CdS-M_i_neut-V-POSCAR1.cif,4.238579,4.187523
1413-CdS-M_i_neut-Sc-POSCAR25.cif,4.065259,4.028669
1417-CdS-M_i_neut-Mn-POSCAR4.cif,2.459836,2.424499
562-AlP-M_i_A-Cr-POSCAR3.cif,0.100655,-0.01949
158-AlSb-Sb_i_A-POSCAR4-Neutral.cif,4.15,4.054121
524-BP-M_i_B-Ta-POSCAR2.cif,12.038317,11.582993
158-CdS-M_i_neut-S-POSCAR10.cif,5.278641,4.86512
1320-CdS-M_i_A-La-POSCAR2.cif,5.262414,5.041271
792-SnC-M_i_B-C-POSCAR15.cif,7.356832,7.657531
479-CdTe-M_i_neut-V-POSCAR25.cif,-0.197679,-0.387862
758-GeC-M_B-Li-POSCAR19.cif,9.943541,9.965822
271-GeC-Ge_i_B-POSCAR4-Neutral.cif,11.514096,11.76906
1024-CdSe-M_i_A-Mn-POSCAR5.cif,2.237177,2.068286
475-CdTe-M_i_neut-Br-POSCAR3.cif,3.434531,3.397734
163-CdSe-M_A-C-POSCAR5.cif,6.263878,6.375018
953-CdSe-M_B-As-POSCAR6.cif,1.338914,0.956721
874-GeSn-M_i_neut-Tl-POSCAR7.cif,3.186121,3.076301
50-Cd_Te0.625_Se0.375-Cd_i-POSCAR9-Neutral.cif,1.66,1.651173
710-Ge-M_i_neut-Pt-POSCAR3.cif,2.367541,2.386033
793-SnC-M_i_B-Si-POSCAR8.cif,8.619742,8.725026
1058-CdSe-M_i_B-In-POSCAR1.cif,3.040996,2.890126
1111-CdSe-M_i_neut-Ba-POSCAR21.cif,4.284678,4.16709
1412-CdS-M_i_neut-I-POSCAR9.cif,5.190336,5.129614
230-InAs-As_i_neut-POSCAR4-Neutral.cif,3.240638,3.118595
1136-CdSe-M_i_neut-Cr-POSCAR24.cif,1.982831,1.947155
27-ZnS-M_A-Ba-POSCAR0.cif,9.273484,7.04245
735-SiC-M_B-I-POSCAR2.cif,11.600069,10.631489
1130-CdSe-M_i_neut-Cl-POSCAR23.cif,3.07997,2.981094
1157-CdSe-M_i_neut-Au-POSCAR1.cif,3.091271,2.971474
177-GaP-Ga_i_neut-POSCAR16-Neutral.cif,4.499455,4.437265
1417-CdS-M_i_neut-Mn-POSCAR7.cif,2.447698,2.411011
364-CdTe-M_i_A-Mo-POSCAR3.cif,5.417683,5.448062
127-CdS-M_A-V-POSCAR4.cif,-1.110682,-1.720538
1396-CdS-M_i_neut-Tl-POSCAR9.cif,3.584852,3.431101
111-CdO-M_i_A-Pb-POSCAR0.cif,11.42939,12.286627
59-ZnSe-M_B-Tl-POSCAR0.cif,3.131284,3.094489
1461-AlSb-M_i_A-Cl-POSCAR6.cif,3.146664,3.230853
596-GaN-M_i_neut-Cd-POSCAR25.cif,9.465208,9.319094
103-CdO-M_A-Ir-POSCAR12.cif,3.669249,3.675245
685-Si-M_A-Li-POSCAR1.cif,3.139786,2.988485
1349-CdS-M_i_B-P-POSCAR4.cif,4.995515,4.878826
173-CdSe-M_i_A-F-POSCAR0.cif,3.758459,3.093421
1428-CdS-M_i_neut-Ru-POSCAR8.cif,4.116155,4.00128
651-InAs-M_i_A-Tl-POSCAR9.cif,2.165323,2.077645
725-Sn-M_i_neut-I-POSCAR1.cif,4.381866,4.237128
809-SiGe-M_B-I-POSCAR1.cif,5.194578,4.727331
376-CdTe-M_i_A-Os-POSCAR3.cif,5.941391,5.927979
451-CdTe-M_i_neut-Ca-POSCAR35.cif,3.465726,3.396818
1409-CdS-M_i_neut-F-POSCAR55.cif,2.036104,1.868441
1149-CdSe-M_i_neut-La-POSCAR38.cif,4.641492,4.58455
1039-CdSe-M_i_A-Hf-POSCAR5.cif,3.160168,2.960113
103-CdO-M_A-Ir-POSCAR7.cif,3.676905,3.680954
860-GeSn-M_B-V-POSCAR0.cif,-0.553901,0.127416
383-CdTe-M_i_B-K-POSCAR3.cif,2.005961,1.988318
239-InSb-Sb_i_B-POSCAR5-Neutral.cif,3.24,3.122788
129-AlN-N_i_B-POSCAR0-Neutral.cif,13.739918,11.943892
487-CdTe-M_i_neut-Y-POSCAR1.cif,5.108557,4.90324
1110-CdSe-M_i_neut-Sr-POSCAR24.cif,3.721662,3.601551
580-AlSb-M_B-Os-POSCAR6.cif,5.080024,4.896912
503-CdTe-M_i_neut-Ir-POSCAR1.cif,3.732618,3.55986
581-AlSb-M_i_A-La-POSCAR0.cif,5.031882,4.715728
250-Sn-V_Sn-POSCAR23-Neutral.cif,1.751555,1.666164
1247-CdS-M_B-V-POSCAR2.cif,5.796952,5.668757
225-InAs-In_i_A-POSCAR0-Neutral.cif,3.211403,3.037683
1407-CdS-M_i_neut-Se-POSCAR3.cif,5.12143,4.994185
1084-CdSe-M_i_B-Cu-POSCAR5.cif,2.257484,2.09115
221-InAs-V_In-POSCAR6-Neutral.cif,3.38,3.00321
1256-CdS-M_B-Nb-POSCAR3.cif,7.180157,7.142126
775-GeC-M_i_neut-O-POSCAR8.cif,7.426271,7.333508
790-SnC-M_i_A-Sn-POSCAR6.cif,10.420217,10.818518
73-Cd_Te0.875_Se0.125-Cd_Te-POSCAR25-Neutral.cif,1.83,1.815571
529-BAs-M_B-Au-POSCAR2.cif,3.019551,2.836772
457-CdTe-M_i_neut-In-POSCAR6.cif,2.705347,2.653142
30-Cd_Te0.375_Se0.625-Cd_i-POSCAR0-Neutral.cif,8.67,8.759251
1102-CdSe-M_i_B-Hg-POSCAR5.cif,2.497348,2.501692
104-CdO-M_A-Rb-POSCAR4.cif,2.189441,3.953098
1365-CdS-M_i_B-Ni-POSCAR6.cif,2.745879,2.625974
961-CdSe-M_B-Cl-POSCAR3.cif,0.643114,0.409793
103-CdO-M_A-Ir-POSCAR11.cif,3.670041,3.629566
457-CdTe-M_i_neut-In-POSCAR17.cif,2.696164,2.64709
90-BN-N_i_neut-POSCAR5-Neutral.cif,11.368444,10.134388
137-AlP-Al_i_neut-POSCAR36-Neutral.cif,4.522799,4.448346
269-GeC-C_i_neut-POSCAR5-Neutral.cif,8.03141,7.896088
244-Si-V_Si-POSCAR4-Neutral.cif,3.470494,3.684356
140-CdS-M_i_A-Mo-POSCAR8.cif,6.664464,6.668819
589-GaN-M_B-Ag-POSCAR3.cif,6.596927,6.498412
664-InSb-M_i_B-Nb-POSCAR3.cif,3.927792,3.843169
1140-CdSe-M_i_neut-Zn-POSCAR40.cif,2.26042,2.18039
69-Cd_Te0.875_Se0.125-V_Se-POSCAR19-Neutral.cif,6.57,6.748132
94-ZnTe-M_i_B-S-POSCAR4.cif,6.011352,6.013112
1106-CdSe-M_i_neut-Rb-POSCAR19.cif,3.099358,3.012143
1077-CdSe-M_i_B-Ti-POSCAR5.cif,3.33272,3.367288
1401-CdS-M_i_neut-Pb-POSCAR29.cif,4.246193,4.184778
1354-CdS-M_i_B-Se-POSCAR1.cif,6.066062,5.856675
590-GaN-M_B-P-POSCAR3.cif,2.015373,1.827802
548-AlN-M_A-La-POSCAR1.cif,7.580786,6.334518
114-CdO-M_i_A-Tc-POSCAR19.cif,4.904562,4.800845
927-CdSe-M_A-W-POSCAR5.cif,4.242188,4.183635
14-ZnO-M_i_A-O-POSCAR0.cif,7.386237,8.026396
170-GaN-N_i_neut-POSCAR11-Neutral.cif,8.099799,7.972956
185-CdSe-M_i_neut-Ag-POSCAR3.cif,1.656716,1.543022
205-InN-In_i_A-POSCAR5-Neutral.cif,5.851475,5.934906
468-CdTe-M_i_neut-Bi-POSCAR0.cif,5.723502,5.732579
1132-CdSe-M_i_neut-I-POSCAR7.cif,4.45145,4.398108
645-InP-M_i_neut-Ir-POSCAR0.cif,5.028914,4.992728
545-BSb-M_i_neut-Cl-POSCAR7.cif,8.50813,8.709156
1145-CdSe-M_i_neut-Tc-POSCAR19.cif,4.638626,4.501134
826-SiGe-M_i_neut-Pd-POSCAR13.cif,1.882946,1.842347
729-SiC-M_A-Rb-POSCAR5.cif,10.95131,9.334238
849-SiSn-M_i_neut-Tl-POSCAR0.cif,7.734696,8.302847
1433-CdS-M_i_neut-Hf-POSCAR18.cif,3.380316,3.19766
230-InAs-As_i_neut-POSCAR5-Neutral.cif,3.23,3.069965
37-ZnS-M_i_A-Ta-POSCAR21.cif,6.488747,6.305593
88-ZnTe-M_i_A-Cr-POSCAR1.cif,-0.464802,-0.579486
971-CdSe-M_B-Ni-POSCAR2.cif,3.860182,3.892465
1113-CdSe-M_i_neut-Al-POSCAR7.cif,3.017829,2.824603
606-GaP-M_i_neut-Ti-POSCAR6.cif,1.963675,1.776972
74-ZnSe-M_i_neut-Hg-POSCAR12.cif,3.152627,3.010996
507-BN-M_A-As-POSCAR11.cif,14.247585,13.675515
167-GaN-Ga_i_neut-POSCAR9-Neutral.cif,8.822248,8.745899
1440-CdS-M_i_neut-Hg-POSCAR5.cif,3.17106,3.10617
187-GaAs-Ga_i_neut-POSCAR17-Neutral.cif,3.548067,3.452329
1123-CdSe-M_i_neut-As-POSCAR0.cif,3.991211,3.943656
505-CdTe-M_i_neut-Au-POSCAR3.cif,2.208322,2.139075
13-ZnS-V_S-POSCAR1-Neutral.cif,1.934226,3.832693
496-CdTe-M_i_neut-Cd-POSCAR25.cif,2.207148,2.116197
272-GeC-Ge_i_neut-POSCAR3-Neutral.cif,12.100815,12.121829
1011-CdSe-M_i_A-P-POSCAR2.cif,4.264637,4.126099
478-CdTe-M_i_neut-Ti-POSCAR9.cif,0.880314,0.848543
898-CdSe-M_A-Bi-POSCAR0.cif,2.038451,1.964062
998-CdSe-M_i_A-Sr-POSCAR3.cif,2.733617,2.584702
191-CdSe-M_i_neut-Se-POSCAR6.cif,4.208922,4.107654
1158-CdSe-M_i_neut-Hg-POSCAR20.cif,2.685974,2.613464
81-ZnTe-M_B-Ge-POSCAR0.cif,1.734599,1.688062
1265-CdS-M_B-Ta-POSCAR4.cif,7.868605,7.860895
1196-CdS-M_A-Zn-POSCAR3.cif,0.34485,-0.042523
1111-CdSe-M_i_neut-Ba-POSCAR17.cif,4.334946,4.176364
478-CdTe-M_i_neut-Ti-POSCAR2.cif,1.120614,0.97637
736-SiC-M_B-Pd-POSCAR1.cif,8.299915,9.123475
64-ZnSe-M_i_A-Ba-POSCAR2.cif,6.920739,6.567183
487-CdTe-M_i_neut-Y-POSCAR4.cif,4.417017,4.337759
167-GaN-Ga_i_neut-POSCAR3-Neutral.cif,9.175462,8.936817
904-CdSe-M_A-Br-POSCAR3.cif,5.208713,5.283119
510-BN-M_B-Li-POSCAR40.cif,10.690068,10.178535
825-SiGe-M_i_neut-Ni-POSCAR10.cif,-0.032794,-0.076716
874-GeSn-M_i_neut-Tl-POSCAR32.cif,3.132184,3.051809
1395-CdS-M_i_neut-In-POSCAR5.cif,3.906686,3.782844
257-SiC-C_i_A-POSCAR3-Neutral.cif,10.001758,9.936582
472-CdTe-M_i_neut-Te-POSCAR11.cif,3.988519,3.937615
75-Cd_Te0.875_Se0.125-Te_Cd-POSCAR1-Neutral.cif,6.06,5.316848
1135-CdSe-M_i_neut-V-POSCAR7.cif,3.040453,3.045113
273-SnC-V_Sn-POSCAR12-Neutral.cif,4.626958,4.870979
1433-CdS-M_i_neut-Hf-POSCAR10.cif,3.403846,3.230944
737-SiC-M_i_A-Ru-POSCAR3.cif,10.106011,9.829293
799-SnC-M_i_neut-S-POSCAR26.cif,8.562535,8.540263
28-Cd_Te0.375_Se0.625-V_Te-POSCAR7-Neutral.cif,1.67,1.571687
213-CdTe-M_A-P-POSCAR0.cif,3.403863,1.057693
85-ZnTe-M_B-N-POSCAR14.cif,-2.105274,-2.748952
180-GaP-P_i_neut-POSCAR2-Neutral.cif,5.263698,5.150424
1211-CdS-M_A-Os-POSCAR4.cif,4.382145,4.222451
1403-CdS-M_i_neut-P-POSCAR5.cif,4.39938,4.339177
283-SiGe-V_Si-POSCAR1-Neutral.cif,3.460844,1.317467
458-CdTe-M_i_neut-Tl-POSCAR17.cif,2.660495,2.549065
789-SnC-M_i_A-Fe-POSCAR2.cif,3.730222,3.791598
952-CdSe-M_B-P-POSCAR7.cif,1.208272,1.08756
586-AlSb-M_i_neut-F-POSCAR16.cif,2.589306,2.608255
161-GaN-V_Ga-POSCAR2-Neutral.cif,7.382808,6.979371
60-ZnSe-M_B-C-POSCAR4.cif,4.18002,3.963743
17-ZnO-M_i_B-Ga-POSCAR7.cif,4.570284,4.289913
586-AlSb-M_i_neut-F-POSCAR7.cif,2.888652,2.929224
422-CdTe-M_i_B-Cu-POSCAR0.cif,0.856672,0.562462
1055-CdSe-M_i_B-Ba-POSCAR2.cif,3.95881,3.790527
471-CdTe-M_i_neut-Se-POSCAR6.cif,3.682771,3.58642
1417-CdS-M_i_neut-Mn-POSCAR45.cif,2.469677,2.406642
499-CdTe-M_i_neut-Ta-POSCAR13.cif,5.55959,5.567298
41-Cd_Te0.500_Se0.500-Te_i-POSCAR0-Neutral.cif,3.05,3.009766
1136-CdSe-M_i_neut-Cr-POSCAR4.cif,2.003739,1.964215
85-ZnTe-M_B-N-POSCAR8.cif,-2.112386,-2.754817
987-CdSe-M_B-Ir-POSCAR1.cif,4.982947,5.059666
1119-CdSe-M_i_neut-Ge-POSCAR0.cif,3.278732,3.186689
344-CdTe-M_i_A-S-POSCAR2.cif,4.459096,4.448143
995-CdSe-M_i_A-Be-POSCAR0.cif,3.753196,3.546321
326-CdTe-M_i_A-Sr-POSCAR0.cif,5.046619,4.93713
956-CdSe-M_B-O-POSCAR3.cif,2.447397,2.430371
1047-CdSe-M_i_B-Li-POSCAR2.cif,0.675336,0.469981
1178-CdS-M_A-N-POSCAR7.cif,6.704056,6.968606
793-SnC-M_i_B-Si-POSCAR9.cif,10.616843,6.406066
951-CdSe-M_B-N-POSCAR18.cif,13.789772,4.271718
232-InSb-V_Sb-POSCAR0-Neutral.cif,2.346143,2.585154
27-ZnSe-Zn_i_neut-POSCAR7-Neutral.cif,2.562827,2.508035
103-CdO-M_A-Ir-POSCAR16.cif,3.654733,3.645298
245-Si-Si_i_A-POSCAR0-Neutral.cif,4.203228,4.168893
1131-CdSe-M_i_neut-Br-POSCAR18.cif,3.625373,3.553563
795-SnC-M_i_B-Mg-POSCAR0.cif,7.202312,6.790998
908-CdSe-M_A-V-POSCAR1.cif,1.608654,1.446072
1450-ZnTe-M_i_A-Mn-POSCAR3.cif,0.987761,0.961214
920-CdSe-M_A-Rh-POSCAR3.cif,2.822689,2.63164
615-GaAs-M_i_neut-Zn-POSCAR23.cif,2.096599,2.152317
46-ZnS-M_i_neut-Ir-POSCAR3.cif,5.590846,5.42326
55-Cd_Te0.625_Se0.375-Te_Cd-POSCAR0-Neutral.cif,3.48,3.437939
784-SnC-M_B-Re-POSCAR0.cif,13.878304,10.714958
1425-CdS-M_i_neut-Nb-POSCAR16.cif,5.028803,4.91605
445-CdTe-M_i_neut-Na-POSCAR20.cif,1.457389,1.257964
557-AlP-M_A-Cd-POSCAR3.cif,2.169035,2.028769
122-CdO-M_i_neut-K-POSCAR21.cif,2.836886,2.695867
1068-CdSe-M_i_B-Sb-POSCAR12.cif,4.459939,4.34588
158-CdS-M_i_neut-S-POSCAR11.cif,5.277572,4.869762
273-SnC-V_Sn-POSCAR18-Neutral.cif,4.632018,4.80288
123-CdO-M_i_neut-Cd-POSCAR40.cif,2.303835,2.192182
657-InSb-M_A-Ag-POSCAR0.cif,1.483783,1.511205
303-CdTe-M_B-Ru-POSCAR2.cif,4.652879,4.632974
402-CdTe-M_i_B-P-POSCAR6.cif,4.042471,3.922763
453-CdTe-M_i_neut-Ba-POSCAR18.cif,4.446876,4.366508
827-SiSn-M_A-Sb-POSCAR0.cif,1.93049,2.396435
484-CdTe-M_i_neut-Ni-POSCAR2.cif,-0.057159,-0.216194
207-InN-In_i_neut-POSCAR4-Neutral.cif,6.019911,5.732499
164-CdSe-M_A-Se-POSCAR2.cif,4.916537,4.909607
121-AlN-V_Al-POSCAR0-Neutral.cif,9.659871,6.113275
629-InN-M_B-Sr-POSCAR1.cif,9.65645,9.15173
555-AlN-M_i_neut-Si-POSCAR29.cif,11.140473,11.12282
71-ZnSe-M_i_neut-I-POSCAR0.cif,6.069355,5.943887
1115-CdSe-M_i_neut-In-POSCAR16.cif,3.358418,3.224501
1421-CdS-M_i_neut-Cu-POSCAR6.cif,2.412962,2.297493
1208-CdS-M_A-Ta-POSCAR2.cif,2.091166,1.827066
1346-CdS-M_i_B-Sn-POSCAR2.cif,3.869151,3.674497
1042-CdSe-M_i_A-Re-POSCAR4.cif,6.519644,6.569523
561-AlP-M_i_A-Rh-POSCAR1.cif,4.440531,4.44943
1417-CdS-M_i_neut-Mn-POSCAR6.cif,2.445357,2.401931
490-CdTe-M_i_neut-Mo-POSCAR1.cif,4.914269,4.826479
1137-CdSe-M_i_neut-Mn-POSCAR2.cif,1.617921,1.515931
908-CdSe-M_A-V-POSCAR0.cif,1.762515,1.685694
841-SiSn-M_i_A-Sr-POSCAR1.cif,4.924877,4.841415
465-CdTe-M_i_neut-P-POSCAR7.cif,3.502166,3.446562
53-ZnSe-M_A-B-POSCAR1.cif,4.527034,4.626974
1410-CdS-M_i_neut-Cl-POSCAR50.cif,4.002895,3.920984
1068-CdSe-M_i_B-Sb-POSCAR9.cif,4.515695,4.444905
990-CdSe-M_B-Hg-POSCAR2.cif,2.267269,2.325677
1067-CdSe-M_i_B-As-POSCAR12.cif,4.356494,4.33735
1434-CdS-M_i_neut-Ta-POSCAR22.cif,5.04296,4.927101
262-SiC-Si_i_neut-POSCAR62-Neutral.cif,10.413543,10.297379
127-AlN-Al_i_neut-POSCAR29-Neutral.cif,8.3,8.22607
826-SiGe-M_i_neut-Pd-POSCAR8.cif,1.891102,1.857823
303-GeSn-V_Ge-POSCAR8-Neutral.cif,2.407594,2.285557
475-CdTe-M_i_neut-Br-POSCAR1.cif,3.887725,3.754999
947-CdSe-M_B-Tl-POSCAR1.cif,2.656318,2.428185
1269-CdS-M_B-Ir-POSCAR2.cif,4.335984,4.163808
1413-CdS-M_i_neut-Sc-POSCAR30.cif,4.071544,4.00828
29-ZnSe-Se_i_B-POSCAR4-Neutral.cif,6.7009,6.676987
105-CdO-M_A-B-POSCAR33.cif,1.931658,1.930061
211-InP-V_In-POSCAR0-Neutral.cif,4.437722,2.935101
1146-CdSe-M_i_neut-Ru-POSCAR16.cif,3.940909,3.806735
1251-CdS-M_B-Co-POSCAR7.cif,5.243847,4.933993
973-CdSe-M_B-Zn-POSCAR1.cif,2.788802,2.605294
1094-CdSe-M_i_B-Hf-POSCAR1.cif,3.467824,3.280653
692-Si-M_i_neut-Sr-POSCAR2.cif,7.277113,7.517404
415-CdTe-M_i_B-Ti-POSCAR0.cif,1.143761,0.956856
1014-CdSe-M_i_A-O-POSCAR0.cif,5.213592,5.080785
928-CdSe-M_A-Re-POSCAR6.cif,4.40176,4.27034
81-CdSe-Cd_Se-POSCAR2-Neutral.cif,2.23,1.89054
874-GeSn-M_i_neut-Tl-POSCAR8.cif,3.168589,3.069644
154-AlSb-Sb_Al-POSCAR1-Neutral.cif,2.377182,2.041567
1360-CdS-M_i_B-V-POSCAR3.cif,3.803402,3.823451
518-BP-M_A-Te-POSCAR3.cif,8.355703,8.345861
1291-CdS-M_i_A-P-POSCAR4.cif,4.683184,4.639219
36-ZnTe-Zn_i_B-POSCAR5-Neutral.cif,2,1.979083
1431-CdS-M_i_neut-Ag-POSCAR35.cif,2.410047,2.348108
256-CdTe-M_B-Na-POSCAR2.cif,3.178242,2.762393
156-AlSb-Al_i_B-POSCAR3-Neutral.cif,2.803138,2.876405
459-CdTe-M_i_neut-C-POSCAR22.cif,6.66121,6.70552
324-CdTe-M_i_A-Mg-POSCAR4.cif,2.487089,2.500767
73-ZnSe-M_i_neut-F-POSCAR2.cif,3.627608,3.468523
585-AlSb-M_i_neut-Na-POSCAR22.cif,3.428058,3.501603
24-ZnO-M_i_neut-Nb-POSCAR11.cif,7.955222,7.715705
